明日	あした	tomorrow	5
行く	いく	to go	5
弟	おと	younger brother	5
一昨日	おととい	day before yesterday	5
一昨年	おととし	year before last	5
方	かた	polite way of indicating person	5
曇り	くもり	cloudiness, cloudy weather, shadow	5
少ない	すくない	few, a little, scarce, insufficient, seldom	5
誰	だれ	who	5
七日	なのか	seven days, the seventh day (of the month)	5
賑やか	にぎやか	bustling, busy	5
始め	はじめ	beginning, start, origin	5
分かる	わかる	to be understood	5
青	あお	the color blue, the color green (noun), green light	5
赤	あか	the color red (noun)	5
飴	あめ	candy	5
犬	いぬ	dog	5
終る	おわる	finish, close	5
風邪	かぜ	common cold	5
家庭	かてい	home, family, household	5
黄色	きいろ	the color yellow (noun)	5
牛乳	ぎゅうにゅう	cow's milk	5
黒	くろ	the color black (noun)	5
後	ご	after	5
交差点	こうさてん	crossing, intersection	5
紅茶	こうちゃ	black tea	5
差す	さす	raise (stretch out) hands, to raise umbrella	5
白	しろ	white	5
背	せ	height, stature	5
日	にち	Japan-, Japanese-	5
温い	ぬるい	lukewarm, tepid	5
猫	ねこ	cat	5
貼る	はる	to stick, paste	5
晴れ	はれ	clear weather	5
文章	ぶんしょう	sentence, article	5
三日	みっか	three days, the third day (of the month)	5
夜	よ	night	5
廊下	ろうか	corridor	5
多い	おおい	have a lot of	5
大きな	おおきな	big, large	5
警官	けいかん	policeman	5
財布	さいふ	purse, wallet	5
小さな	ちいさな	small	5
年	とし	year	5
無くす	なくす	lose	5
緑	みどり	green	5
村	むら	village	5
夕飯	ゆうはん	dinner	5
弱い	よわい	weak	5
会う	あう	to meet, to interview	5
青い	あおい	blue, pale, green, unripe, inexperienced	5
赤い	あかい	red	5
明い	あかるい	bright, light, cheerful, sunny	5
秋	あき	autumn, fall	5
開く	あく	open (e.g. a festival)	5
開ける	あける	become opened up, be up-to-date, become civilized	5
上げる	あげる	give, raise, elevate, praise, increase, advance, promote, admit, offer, present, leave with, finish, observe, perform, quote, mention, bear (a child), improve (talents), arrest, engage, fry	5
朝	あさ	morning	5
朝御飯	あさごはん	breakfast	5
足	あし	foot, pace, gait, leg	5
遊ぶ	あそぶ	play, make a visit (esp. for pleasure), be idle, do nothing	5
暖かい	あたたかい	warm, mild, genial	5
頭	あたま	head	5
新しい	あたらしい	new	5
暑い	あつい	hot, warm	5
厚い	あつい	thick, deep, cordial, kind, warm(hearted)	5
熱い	あつい	hot (thing)	5
後	あと	afterwards, since then, in the future	5
兄	あに	older brother	5
姉	あね	older sister	5
危ない	あぶない	dangerous, critical, grave, uncertain, unreliable, limping, narrow, close, watch out!	5
甘い	あまい	delicious	5
雨	あめ	rain	5
洗う	あらう	to wash	5
歩く	あるく	to walk	5
言う	いう	to say	5
家	いえ	house, family	5
池	いけ	pond	5
医者	いしゃ	doctor (medical)	5
忙しい	いそがしい	busy, irritated	5
痛い	いたい	painful	5
一	いち	one	5
一日	いちにち	first of month	5
五日	いつか	five days, the fifth day (of the month)	5
