one	1 <img src="64641e1d867976dd37416c68a0796bf5.jpg" />	★★★★★	一	イチ、イツ	ひと<span style="font-weight:600; color:#5c73b8;">つ </span>-	one thing (★★★★)<br />		ICHI/ITSU - Eazy-e's debut album "EAZY duz it" was so good, IT'S going to go to number <span style="color:#aa0000;">one</span> on the charts.	もう一度 - もういちど - once more; again (★★★★★)<br />一 (one) + 度 (times) = もう一度 (once more)	一日 - ついたち - first day of the month (★★★★)<br />一 (one) + 日 (sun, day) = 一日 (first day of the month)	y
two	2	★★★★★	二	ニ	ふた<span style="font-weight:600; color:#5c73b8;">つ </span><span style="color:#000000;">-</span>	<span style="color:#000000;">two things (★★★★)</span><br />		NI - Vince NEIL has <span style="color:#aa0000;">two</span> chins.	二日 - ふつか - second day of the month (★★★★)<br>二 (two) + 日 (sun, day) = 二日 (second day of the month)	二月 - にがつ - February (★★★★)<br />二 (two) + 月 (moon) = 二月 (February)	y
three	3	★★★★★	三	サン	み<span style="font-weight:600; color:#5c73b8;">つ</span><span style="color:#000000;">、</span>み<span style="color:#000000;">っ</span><span style="font-weight:600; color:#5c73b8;">つ</span><span style="color:#5c73b8;"> </span><span style="color:#000000;">-</span>	three things (★★★★)<br />		SAN - SANTA Claus has <span style="color:#aa0000;">three</span> wives.	三月 - さんがつ - March (★★★★★)<br />三 (three) + 月 (moon) = 三月 (March)	三日 - みっか - the third day of the month (★★★★)<br />三 (three) + 日 (sun, day) = 三日 (the third day of the month)	y
total	4 <img src="64641e1d867976dd37416c68a0796bf5.jpg" />	★★★★☆	了	リョウ		To me it just looks like a broken coat hanger, which is <span style="color:#aa0000;">total</span>ly useless.<br />		RYOU - We don't have the <span style="color:#aa0000;">total</span> number of parts, so we need to REORDER more.	了解 - りょうかい - comprehension; understanding; roger (on the radio) (★★★)<br />了 (total) + 解 (solve / untie) = 了解 (understanding; roger)	完了 <span style="color:#5c73b8;">する</span> - かんりょう - completion (★★★)<br />完 (completion) + 了 (total) = 完了 (completion)	y
child	5	★★★★★	子	シ	こ -	child (★★★★★)<br />		一 (one / line radical) + 了 (total)	SHI - That poor <span style="color:#aa0000;">child</span> - SHE has lived a total of one year!	子供 - こども - child (★★★★★)<br />子 (child) + 供 (accompany) = 子供 (child)<br><br>親子 - おやこ - parent and child (★★★★)<br>親 (parents/kindness) + 子 (child) = 親子 (parent and child) 	y
woman	6 <img src="64641e1d867976dd37416c68a0796bf5.jpg" />	★★★★★	女	ジョ	おんな -	woman (★★★★★)<br />		JO - It looks like a <span style="color:#aa0000;">lady</span>, tilting her head to one side and crossing her arms as she watches you JACK OFF.	女の人 - おんなのひと -&nbsp;&nbsp;woman (★★★★★)<br />女 (woman) + 人 (person) = 女の人 (woman)	彼女 - かのじょ - she; her; girlfriend (★★★★★)<br />彼 (him) + 女 (woman) = 彼女 (her; girlfriend)<br /><br /><a href="http://kanjidamage.com/tags/25"><span style="text-decoration: underline; color:#0000ff;">SYMBOLIC</span></a>	y
like	7	★★★★★	好	コウ	( <span style="color:#5c73b8;">が</span> ) す<span style="font-weight:600; color:#5c73b8;">き</span> -	<span style="color:#000000;">liking; fondness; love (</span>★★★★★<span style="color:#000000;">)</span>	このみ -	liking; taste; choice (★★★<span style="color:#000000;">)</span>	子 (child) + 女 (woman) <br /><br />A woman and her child means '<span style="color:#aa0000;">like</span>', huh?<br /><br />KOU - Your Moms <span style="color:#aa0000;">like</span>s exercising her COLON on Youtube.	大好き - だいすき - very likeable; loveable; like very much (★★★★★)<br />大 (big) + 好 (like) = 大好き (very likeable)	y
rape	8	★★☆☆☆	姦	カン		女 (woman)<br />		KAN - Genghis KHAN <span style="color:#aa0000;">raped</span> three women.	強姦 <span style="color:#5c73b8;">する </span>- ごうかん - rape (★★<b>)</b><br />強 (burly) + 姦 (rape) = 強姦 (rape)	<br />	y
mouth / small box radical	9 <img src="64641e1d867976dd37416c68a0796bf5.jpg" />	★★★★★	口	コウ、ク	くち -	mouth (★★★★★ )<br />		You can think of this as an open <span style="color:#aa0000;">mouth</span>, just yelling at you.	KOU/KU - "My <span style="color:#aa0000;">KUchi</span> on your COLON."	銀行口座 - ぎんこうこうざ - bank account (★★★)<br />銀行 (bank) + 口 (mouth) + 座 (sit) = 銀行口座 (bank account)<br /><br /><a href="http://kanjidamage.com/tags/25"><span style="text-decoration: underline; color:#0000ff;">SYMBOLIC</span></a>	y
products	10	★★★☆☆	品	ヒン		口 (mouth / small box radical) <br />		HIN - Please show HIM the boxes of <span style="color:#aa0000;">products</span>. (He's the customer)	商品 - しょうひん - goods; merchandise (★★★★)<br />商 (merchandise) + 品 (products) = 商品 (goods)	下品 <span style="color:#5c73b8;">な</span> - げひん - vulgarity; indecency (★★★)<br />下 (below) + 品 (products) = 下品 (vulgarity)	y
say	11	★★★★★	言	ゲン	( <span style="color:#5c73b8;">と</span> ) い<span style="font-weight:600; color:#5c73b8;">う </span>-	to say (★★★★★)<br />		一 (one / line radical) + 三 (three) + 口 (mouth / small box radical) <br /><br />GEN - He used his mouth to <span style="color:#aa0000;">say</span> it 4 times already! If he <span style="color:#aa0000;">say</span>s it AGAIN, I swear I'll stomp that ass.	言葉 - ことば - word; speech; (manner of) speaking (★★★★★)<br />言 (say) + 葉 (leaf) = 言葉 (word; speech)	助言 - じょげん - advice (★★★)<br />助 (save) + 言 (say) = 助言 (advice)<br /><br /><a href="http://kanjidamage.com/tags/25"><span style="text-decoration: underline; color:#0000ff;">SYMBOLIC</span></a> 1/2 of the time	y
